marketName,coin,action,usdcAmount,tokenAmount,tokenName,timestamp,hash,Column1
"XRP Up or Down - June 18, 6:40AM-6:45AM ET",XRP,Redeem,5,5,,1781779564,0x1590fe3071dcdfb510b2d640e6e2c085a7a1d6b2174bcb49eb4554b20adbb314,-5
"Bitcoin Up or Down - June 18, 6:45AM-7:00AM ET",Bit,Buy,-2.15,5,Down,1781779537,0xe42f23c565f07747f92ee2a9d6a2446abfef68efdf55e0508b476fc62dd7679a,2.15
"XRP Up or Down - June 18, 6:40AM-6:45AM ET",XRP,Buy,-4.76662,5,Down,1781779463,0x2791aefe4f66127d26cdaa459b25223ccb16faa84def50727f8fa68c4ff5b716,4.76662
"Solana Up or Down - June 18, 6:35AM-6:40AM ET",Sol,Redeem,5,5,,1781779232,0x97bfbf7f1758cd042a0b5316b354f433ce47c321889777e77022e517b290032b,-5
"Solana Up or Down - June 18, 6:35AM-6:40AM ET",Sol,Buy,-4.76662,5,Down,1781779168,0xe5c012cc2c50463524b933fef505ad2eb7c7d87aa1243a3d72ed939d44da5cd7,4.76662
"XRP Up or Down - June 18, 6:35AM-6:40AM ET",XRP,Sell,3.9,5,Down,1781779151,0x450c5206c20dd1ec5f0fb7c8b6b73fa73ebc821b94694f3a4c12153bab6eb8e5,-3.9
"XRP Up or Down - June 18, 6:35AM-6:40AM ET",XRP,Buy,-4.35,5,Down,1781779120,0x0c4284eebcd154269a00d47e09085dd555492c82734035e93d813082aff3dbd0,4.35
"Solana Up or Down - June 18, 6:30AM-6:35AM ET",Sol,Sell,0.84834,5,Down,1781778862,0x6cbd5ad85f64c0a9e8924687b5ba6a3281389a24afc35505f3957f1d024b5abe,-0.84834
"XRP Up or Down - June 18, 6:30AM-6:35AM ET",XRP,Sell,3.944,5,Up,1781778841,0x82de490fcf54acfd70ec5f1235dca999c746f35acfa5fd16137a8b5a267948bf,-3.944
"Solana Up or Down - June 18, 6:30AM-6:35AM ET",Sol,Buy,-4.62576,5,Down,1781778838,0x2946d25304ce37e73dcc9470c8e3709c31a57989c9434b902106494a574089dd,4.62576
"XRP Up or Down - June 18, 6:30AM-6:35AM ET",XRP,Buy,-4.48426,5,Up,1781778728,0xbfa9e2f8b9e9a72eb22f615d450139e7112e7f039735025913695407ea21bcc1,4.48426
